original_area,canonical_name,category
1. Machine Learning in Computational Astrophysics,ML in Astrophysics,AI & Machine Learning
2. Physics Informed Neural Network3. Quantum Machine Learning,Physics-Informed Neural Networks,AI & Machine Learning
2D Materials,2D Materials,Hardware & Electronics
"2d Materials, IOT, Device Physics",2D Materials & Device Physics,Hardware & Electronics
3D Image Processing,3D Image Processing,Computer Vision
AI,Artificial Intelligence,AI & Machine Learning
AI for Healthcare and Social Good,AI for Healthcare,Bioinformatics & Healthcare
AI for Software Engineering (AI4SE),AI for Software Engineering,Software Engineering
AI in Security,AI in Security,Security & Privacy
"AI, Cloud computing, NLP",Natural Language Processing,NLP
"AI, Image Processing and Computer Vision",Image Processing & Computer Vision,Computer Vision
AI/ML,AI / Machine Learning,AI & Machine Learning
Algorithms,Algorithms,Theory & Algorithms
Analog Circuit Design,Analog Circuit Design,Hardware & Electronics
Applied Machine Learning,Machine Learning,AI & Machine Learning
Applied Machine Learning and Data Science,Machine Learning,AI & Machine Learning
Applied Natural Language Processing (NLP),Applied NLP,NLP
Artificial Intelligence,Artificial Intelligence,AI & Machine Learning
Artificial Intelligence & Data Science,Artificial Intelligence,AI & Machine Learning
Artificial Intelligence (AI),Artificial Intelligence,AI & Machine Learning
Artificial Intelligence and Green AI,Artificial Intelligence & Green AI,AI & Machine Learning
Bio-related Signal Processing,Bio-signal Processing,Bioinformatics & Healthcare
Bioinformatics,Bioinformatics,Bioinformatics & Healthcare
Bioinformatics and Computational Biology,Bioinformatics & Computational Biology,Bioinformatics & Healthcare
Biomedical AI,Biomedical AI,Bioinformatics & Healthcare
Biomedical Imaging and Analytics,Biomedical Imaging,Bioinformatics & Healthcare
Blockchain,Blockchain,Security & Privacy
Blockchain and Cyber Security,Blockchain & Cybersecurity,Security & Privacy
Blockchain and Distributed Systems,Blockchain & Distributed Systems,Security & Privacy
Brain-Computer Interfaces (BCI),Brain-Computer Interfaces,Bioinformatics & Healthcare
Brain-Inspired AI,Brain-Inspired AI,AI & Machine Learning
Cache Management Policies,Cache Management,Systems & Networking
Causal AI,Causal AI,AI & Machine Learning
Causal Inference,Causal Inference,AI & Machine Learning
Classical AI,Classical AI,AI & Machine Learning
Cloud Engineering,Cloud Engineering,Systems & Networking
Cloud Security,Cloud Security,Security & Privacy
Cognitive Neuroscience,Cognitive Neuroscience,Bioinformatics & Healthcare
Computational Astrophysics,Computational Astrophysics,Data Science
Computational Biology,Computational Biology,Bioinformatics & Healthcare
Computational Geometry,Computational Geometry,Theory & Algorithms
Computational Social Science,Computational Social Science,NLP
Computer Networks,Computer Networks,Systems & Networking
Computer Vision,Computer Vision,Computer Vision
Computer Vision and Image Analysis,Computer Vision & Image Analysis,Computer Vision
"Computer Vision, LLM, NLP",Large Language Models,Large Language Models
"Computer Vision,NLP, AI, ML",Large Language Models,Large Language Models
Computer and Network Security,Computer & Network Security,Security & Privacy
Cryptography,Cryptography,Security & Privacy
Cyber Security,Cybersecurity,Security & Privacy
Cybersecurity,Cybersecurity,Security & Privacy
DFT Simulation,DFT Simulation,Hardware & Electronics
Data Mining,Data Mining,Data Science
